Organization,Website,Status
Community Organizer,https://www.democracyjobs.org/jobs/439766026-community-organizer,live
Community Outreach View & Visions Performing Arts,https://web.archive.org/web/20140204005918/http:/www.slc.edu/magazine/75th-anniversary/founding/becoming.html,archived
Community Resource Network Volunteer Center,https://web.archive.org/web/20120330034840/http:/www.omh.ny.gov/omhweb/facilities/pgpc/facility.htm,archived
Community Shares of Illinois,https://communitysharesillinois.org/,live
Community Television Network,https://foursquare.com/v/community-television-network/4e2ecfce8877341a514bc1ed,live
Community Wraparound Initiative,https://link.springer.com/article/10.1023/A:1025089227710,live
Community Youth Outreach,https://www.fairchanceproject.com/programs/community-youth-outreach,live
Computer Training Consortium,https://web.archive.org/web/20110704110715/http:/www.sciencedebate.org/debate08.html,archived
Concordia College,https://www.concordiacollege.edu/admission/accepted-students/make-it-official/,live
Constitutional Rights Foundation Chicago,https://www.nonprofitlist.org/det/44014_constitutional-rights-foundation-chicago,live
Conversation Press,https://www.slideshare.net/slideshow/for-conversation-press-1pptx/252930704,live
Cook County Juvenile Court,https://www.cookcountycourtil.gov/division/juvenile-justice-division,live
Cook County Juvenile Detention Center,https://www.injusticewatch.org/juvenile-courts/youth-incarceration/2024/cook-county-juvenile-detention-center-downsize-plans/,live
Cook County Juvenile Probation Department,https://www.cookcountycourtil.gov/division/juvenile-justice-division,live
Cook County Juvenile Temporary Detention Center,https://www.cookcountyil.gov/agency/juvenile-temporary-detention-center,live
Cook County Sheriffs Office,https://www.propublica.org/article/cook-county-sheriffs-office-gang-database,live
Cook County State's Attorney - Juvenile Justice Bureau,https://www.bellas-wachowski.com/lawyers/tracy-a-ries/,live
Cook County States Attorney,https://www.cookcountystatesattorney.org/,live
Coopers & Lybrand,https://www.icaew.com/library/historical-resources/guide-to-historical-resources/firm-histories/whats-in-a-name/coopers-and-lybrand,live
Copeland Consulting,https://www.copelandconsulting.org/,live
Corazon a Corazon,https://www.booking.com/hotel/pe/hostal-corazon-a-corazon.en-gb.html,live
Corboy & Demetrio,https://www.corboydemetrio.com/,live
Corporation for National & Community Service,https://www.govinfo.gov/content/pkg/CHRG-114hhrg20236/html/CHRG-114hhrg20236.htm,live
Corporation for National Service Illinois State Program Offfice,https://www.illinois.gov/business.html,live
"Corporation for National Service, Illinois State Program Offfice",,not found
Cottage Kids Youth Program,,not found
"Couleecap, Inc. LaCrosse, WI",,not found
"Council Bluffs, IA, Area Education Agency 13",https://maps.google.com/,live
Country Club Hills Mentoring Program,https://cchillsmentoringprogram.com/,live
Court of Cook County Juvenile Justice Department,https://www.probation.illinoiscourts.gov/Contacts/juvenile-detention-contacts,live
Cove Foundation,https://www.thecovefoundation.org/,live
Crawford Co Mentoring Program,,not found
Creighton University Occupational Therpy,https://www.creighton.edu/academics/programs/occupational-therapy,live
Crossector Solutions LLC,https://cobaltintelligence.com/directory/Illinois/C/CRO,live
Crossroads YMCA of Chicago North Lawndale,,not found
Currie High School,https://curriehighschool.co.uk/,live
DCPS,https://www.ncbi.nlm.nih.gov/gene?LinkName=geoprofiles_gene&from_uid=34752138,live
DSSA Mgt,https://www.nhl.com/info/teams/,live
DSWS Job Placement Service,https://www.dswd.gov.ph/e-services/,live
DYE Developing the Young,https://www.nhl.com/info/teams/,live
Dads First,https://www.dadsfirst.org/,live
Daniel Murphy Scholarship Foundation,https://web.archive.org/web/20201103184735/nrapvf.org/grades/south-carolina,archived
Danville C C School District 118,https://archive.org/stream/ERIC_ED316595/ERIC_ED316595_djvu.txt,live
Dare to Dream: Get Educated Latina Conference,http://sacredfeminist.com/kate-skegg-dare-to-dream-get-educated/,live
Darryl Stingley Youth Foundation,https://www.espn.com/blog/afceast/post/_/id/15437/tatums-death-summons-stingley-tragedy,live
Daughters of Zion International,https://www.daughtersofzioninternational.org/,live
Davids Slingshot,https://fairbowusa.com/products/davids-sling,live
De La Salle Tolten Center,,not found
De Paul University,https://www.depaul.edu/,live
DePaul Center for Urban Education,https://teacher.depaul.edu/StandardsPlanningTools.doc,live
DePaul University,https://offices.depaul.edu/housing/assignments/Pages/living-learning-communities.aspx,live
DePaul University - Eagan Urban Center,https://resources.depaul.edu/egan-office/Pages/default.aspx,live
DePaul University College of Law,https://law.depaul.edu/about/deans-message,live
DePaul University English Department,https://las.depaul.edu/academics/departments-programs/english,live
DePaul University Irwin W Steans Center for Community Based Service Learning,https://alumnius.net/depaul_university-8254-439,live
DePaul University School of Education,https://archive.org/stream/ERIC_ED050663/ERIC_ED050663_djvu.txt,live
DePaul University Steans Center for Community based Service Learning,https://csh.depaul.edu/academics/departments-schools/nursing/about/community-engagement,live
"DePaul University, Department of Psychology",https://neurophys.depaul.edu/findus.html,live
"DePaul University, Jumpstart Chicago",,not found
"DePaul University, Office of Advancement",https://www.depaul.edu/,live
"DePaul University, School of Education",https://education.depaul.edu/,live
"DePaul University, Steans Center for Community based Service Learning",https://csh.depaul.edu/academics/departments-schools/nursing/about/community-engagement,live
DeVry Institute,https://web.archive.org/web/20110403191942/http://www.devry.edu/,archived
DeVry University,https://apps.apple.com/us/app/devry-university/id675222317,live
Delta Area Economic Opportunity Corp,https://www.sikeston.net/assets/pdf/Relocation+Guide-compressed/,live
Demoiselle2Femme,https://www.easycounter.com/report/demoiselle2femme.org,live
Department of Children and Family Services,https://msa.maryland.gov/msa/mdmanual/36loc/al/html/functions/alcommunity.html,live
"Department of Children and Family Services, City of Chicago",https://web.archive.org/web/20220517015957/https:/princeofthequeencity.com/,archived
Department of Psychology,https://olemiss.edu/psychology/,live
Department of Public Health Teen Reach Program,https://web.archive.org/web/20120330034840/http:/www.omh.ny.gov/omhweb/facilities/pgpc/facility.htm,archived
"Dept of Disability and Human Development, UIC",,not found
Des Moines Area Religious Council - Project Connect,https://www.nhl.com/info/teams/,live
Designers for Learning,https://designersforlearning.org/,live
Destinee Global,https://www.internationalcorp.org/destinee-global-nfp,live
Developing Communities Project,https://www.macfound.org/grantee/developing-communities-project-1260/,live
Dewey School,https://www.deweyschool.net/,live
Diamond Lake School Dist 76,http://www.schools-data.com/schools/WEST-OAK-MS-MUNDELEIN.html,live
DigitalConnections,https://digitalconnections.info/,live
Dime Child Foundation,https://www.idealist.org/en/nonprofit/de3d6ebf899e4210877660484e6751be-dime-child-foundation-chicago,live
Discovery Toys,https://www.discoverytoys.net/,live
District 30 Governor 2003 2004,https://web.archive.org/web/20230327232542/https:/www.ipsecinfo.org/2017/04/04/nuclear-ticking-time-bomb-28-miles-from-nyc-americas-lawyer/,archived
Division of Environment Culture & Conservation Field Museum,https://www.nhl.com/info/teams/,live
Dixon Youth Services,,not found
Do Gooder Consulting,https://www.do-gooder.us/,live
Do The Write Thing Challenge,https://www.wt-philly.com/,live
Doherty Rumble & Butler,https://www.cftc.gov/sites/default/files/enf/98orders/enfgrainland.htm,live
Dollars 4 Scholars,https://impact.utdallas.edu/project/2468,live
Dominican University,https://www.dom.edu/about-dominican,live
Donors Forum of Chicago,https://data.danetsoft.com/donorsforum.org,live
Douglas Alternative School,https://www.greatschools.org/nevada/minden/602-Douglas-Alternative-School/,live
Dr Bill Learning Centers,https://www.nhl.com/info/teams/,live
Dream Cultivation Youth Training Institute,,not found
DreamBig,https://www.dreambigsemi.com/,live
Dreams for Kids,https://www.dreamsforkids.org/,live
DrinkerBiddle&Reath,https://law.lclark.edu/live/files/4777-letter-of-protest-1-washrs-2-24-10-74300713,live
DuPage County Project Success Lombard Villa Park,,not found
Dunbar High School,https://www.baltimorecityschools.org/o/dunbar,live
Dunbar Vocational Career Academy Jobs for IL Graduates,https://dvca-cps.org/,live
Durland Consulting,https://durlandconsulting.com/,live
Dusseldorp Skills Forum (Australia),https://archive.org/stream/ERIC_ED470615/ERIC_ED470615_djvu.txt,live
EDC Usborne Books,https://www.abebooks.com/book-search/publisher/edc-usborne-books/,live
EPIE Institute,https://www.amazon.com/1988-Supplement-Educational-Software-Selector/dp/0807729264,live
Each One Reach One Child,https://www.volunteermatch.org/search/org25097.jsp,live
East Valley Bible Church,https://eastvalleybiblechurch.com/home,live
East Village  Youth Program,https://www.findglocal.com/US/Chicago/118306544862267/East-Village-Youth-Program,live
East Village Youth Program,https://eastvillageyouthprogram.wordpress.com/,live
"Easter Seals, Inc., Reaching for Adulthood Program",,not found
Eastern Illinois Education for Employment Systems,https://southeasternillinois.org/165500-committed-to-create-coles-county-entrepreneurship-class/,live
Eastview Elemenatry School,https://ev.oleanschools.org/,live
Ebenezer Lutheran Church,https://www.ebenezerchurch.org/,live
Economics America c o Northern Illinois University,https://web.archive.org/web/20080420154202/www.beyondmarriage.org/signatories.html,archived
"Economics America, IL Council on Economic Education",https://web.archive.org/web/20080420154202/www.beyondmarriage.org/signatories.html,archived
EdSolutions,https://edsolutions.com/,live
Edgewater Baptist Church Safe Place Afterschool program,https://www.edgewaterbaptistchurch.org/,live
Edgewood College,https://www.edgewood.edu/,live
Edison Schools,https://edisonschools.edu.vn/en/,live
Education 4 Life Foundation,https://www.h2owellsfoundation.org/donate,live
Education Service Network,https://www.riihimaki.fi/en/tiedotteet/palveluverkon-projektiryhma-valitsi-paivakodit-ja-koulut-joiden-tulevaisuutta-arvioidaan/,live
Education Writer - Freelance,https://blog.writers.work/tag/education-writer/,live
Educational Endeavors,https://educationalendeavors.org/8-ways-to-focus-when-doing-your-homework/,live
Educational Talent Search Markham,,not found
"Effingham Unit 40 Schools, Central School Mentoring Program",,not found
El Valor,https://elvalor.org/employment/,live
Elgin Community College Youth Leadership Academy,https://archive.org/stream/ERIC_ED411716/ERIC_ED411716_djvu.txt,live
Elgin School District U46,https://www.u-46.org/,live
Elgin YMCA - Project Access,,not found
Ellen Satter Institute,https://www.ellynsatterinstitute.org/home/,live
Elmhurst College,https://www.nndb.com/edu/599/000079362/,live
Elmhurst School District #205,https://www.elmhurst205.org/,live
Emerson Junior High School,https://www.emersonpace.com/about-pace/about-emerson/,live
Employment & Employer Services,https://edd.ca.gov/en/About_EDD/Employer_Services_Online,live
Employment Resources and Childcare Network,https://employmentresourcesandchildcarenetwork.wordpress.com/,live
Enlewood United,,not found
Enlightenment Social Services,https://web.archive.org/web/20230506125554/https:/www.microsoft.com/en-us/msrc/windows-security-servicing-criteria,archived
Epiphany International,http://ryanwuerch.com/epiphany-international/,live
Epworth Church Tutoring Program / Inspired Youth,,not found
Epworth Tutoring Program  / Inspired Youth Tutoring,https://www.dol.gov/agencies/osec,live
Epworth Tutoring Program - Inspired Youth,,not found
"Epworth Tutoring Program - Inspired Youth, Inc.",,not found
Epworth Tutoring Program / Inspired Youth,,not found
"Epworth Tutoring Program, Inspired Youth",https://www.nhl.com/info/teams/,live
Equinnox,https://essentialquinn.bandcamp.com/album/equinnox-ii-true-north,live
Erickson Institute,https://web.archive.org/web/20080420154202/www.beyondmarriage.org/signatories.html,archived
Erie Family Health Center,https://www.eriefamilyhealth.org/,live
Erie Neighborhood House,https://eriehouse.org/,live
Erie Neighborhood House Adult Programs,https://www.nhl.com/info/teams/,live
Erie Neighborhood House TEAM Youth Options Unlimited,https://www.nhl.com/info/teams/,live
Erie Neighborhood House TEAM/Youth Options Unlimited,https://athletics.houghton.edu/sports/baseball,live
Erie Neighborhood House Youth Options Unlimited,,not found
Eternal Light Community Services,https://acronymsandslang.com/definition/7138790/ELM-meaning.html,live
"Euclid Foursquare Church, Tutorial Program",,not found
Evangel Church of God WorldVision KidREACH,https://www.evangelchurch.com/,live
Evanston INVEST,https://web.archive.org/web/20110920133809/http:/www.uvu.edu/chss/adoption/2010/presenters.html,archived
Evanston INVEST Tutoring Program,,not found
Evanston Police Department Youth Service Bureau,,not found
Evanston Skokie School District 65,https://www.district65.net/,live
Evanston/Skokie School District 65,https://www.district65.net/,live
Evergreen Centre for Street Youth,https://www.torontomu.ca/~streetiy/about/community_partners.html,live
Executive Service Corps,https://escus.org/,live
Exodus Renewal Society VIP Mentoring Program,,not found
Experience Corps,https://www.aarp.org/experience-corps/,live
F U T U R E Foundation,https://web.archive.org/web/20110604035216/https:/www.ndsu.edu/news/view/article/11749/,archived
FBC TIA,,not found
FOUS,https://soundcloud.com/fous-official/youre-my-skrtt-fous-prod-pyker-2,live
FOUS Consulting,https://focusconsultingfirm.com/,live
FOUS Consulting Service,,not found
Families Building Community,https://allpathsfb.org/page/2/,live
Families of Incarcerated Individuals,https://www.fotistrong.com/,live
Family Care of Illinois,https://www.healthgrades.com/group-directory/il-illinois/chicago/family-care-of-illinois-x9tbtv,live
Family Care of Illinois Foster Grandparent Program,https://www.nhl.com/info/teams/,live
Family Empowerment Centers of Chicago,https://www.ecfa.org/MemberProfile.aspx?ID=57608,live
Family First Health Care,https://www.healthgrades.com/physician/dr-monique-tolston-3x4ry,live
Family Focus,https://thefamilyfocus.ca/walk-in/,live
Family Focus Teen Parent Support,http://web.archive.org/web/20080705135834re_/boycottmcdonalds.com/,archived
Family Matters Community Tutoring Programs,https://www.nhl.com/info/teams/,live
Family Outreach & Educational Center,https://nonprofitlocator.org/organizations/fl/hialeah,live
Family Rescue,https://collider.com/holmes-family-rescue-reveals-what-diy-homeowners-stop-doing/,live
Family Resource Center - MAlNROADS,https://web.archive.org/web/19981206195437/http://www.familyresourcecenter.org:80/,archived
Family Resource Center Youth Advocacy,https://www.nhl.com/info/teams/,live
"Family Resource Center, Youth Advocacy",https://www.thetrevorproject.org/,live
Family Resource Foundation,https://greatnonprofits.org/org/family-resource-foundation-inc,live
Family Strengthening and Mentoring Program JCFS,,not found
FamilyCare of Illinois,https://www.volunteermatch.org/search/org19477.jsp,live
Farther Foundation,https://www.fartherscholar.org/,live
Fathers for the Future Foundation,https://greatnonprofits.org/org/fathers-for-the-future-foundation,live
Federal Resource Center for Children of Prisoners Child Welfare League of American,,not found
Fellowship Community Services,https://www.fridaynightplace.com/,live
Fellowship United Methodist Church,https://fellowshipmethodist.org/,live
Femi Memorial Outreach After School Tutoring and Mentorship,https://www.taxexemptworld.com/organization.asp?tn=1640697,live
Fermi Outreach,https://slate.com/technology/2009/12/fermi-smooths-out-space.html,live
Fernwood School,https://www.fernwood.school/,live
Ferris State University,https://www.ferris.edu/,live
"Ferris State University, Academic Support Center",,not found
Fetch Public Relations,https://trustburn.com/reviews/fetch-public-relations-llc,live
Fidelity Life Associatin,,not found
Field Museum,https://www.fieldmuseum.org/,live
Firman Community Services,http://firmancs.org/,live
First Baptist Congregational Church,https://www.firstbaptistchicago.org/,live
First Book,https://en-academic.com/dic.nsf/enwiki/3530607,live
First Church Bethany Brethern,,not found
First Church of the Brethem,https://archive.org/stream/raurowrowefamily00whit/raurowrowefamily00whit_djvu.txt,live
First Congregational Church,https://www.fccla.org/,live
First Defense legal Aid,https://www.first-defense.org/,live
First Hand Learning,https://airtouch.education/,live
First Immanuel Lutheran Church,https://firstimmanuelchicago.org/,live
First Step to Community Development,https://web.archive.org/web/20201118031250/https:/usoecd.usmission.gov/white-house-ostps-michael-kratsios-keynote-on-ai-next-steps/,archived
First Unitarian Church,https://www.uula.org/fun,live
First United Methodist Church,https://www.firstumc.org/,live
Fllowship Community Services,,not found
Flower Career Academy,http://www.schools-data.com/schools/FLOWER-CAREER-ACADEMY-H-S-CHICAGO.html,live
Floyd Consulting,https://www.floydconsulting.com/,live
Focus Treatment Center Suite 219,https://web.archive.org/web/20200426140027/https:/slatestarcodex.com/,archived
Focus Vision Films,https://web.archive.org/web/20230929084558/https:/www.latimes.com/business/la-tm-oops6feb05-story.html,archived
Foot Soldiers for Christ,https://www.calvaryhillsboro.org/watch-listen/messages/shawn-dean-2022-05-08-luke-101-16,live
Foreman High School,https://www.foremanschools.org/,live
"Forth Presbyteriam Church, Partners In Education - Chicago Lights",,not found
Forth Presbyterian Church Chicago Lights Tutoring - Partners in Education,https://chicagolights.org/tutoring/,live
Forty First Judicial Circuit of Missouri -Juvenile Office Shelby County Courthouse,,not found
Foster Green Morgan,https://ufind.name/Anita+Green,live
Fourth Presbyterian Church,https://www.fourthchurch.org/,live
Fourth Presbyterian Church - Chicago Lights Tutoring,https://www.idealist.org/en/nonprofit/3f787ae8489b4b6d93a50d4abaa36889-chicago-lights-tutoring-program-fourth-presbyterian-church-chicago,live
Fourth Presbyterian Church Chicago  Lights Tutoring Program - Partners in Education,,not found
Fourth Presbyterian Church Chicago Lights Tutoring - Partners in Education,,not found
Fourth Presbyterian Church Chicago Lights Tutoring / Partners in Education,,not found
Fourth Presbyterian Church Chicago Lights Tutoring Program - Partners in Education,,not found
Fourth Presbyterian Church Partners In Education Tutoring Program - Chicago Lights,https://lian-li.com/product/edge-gold/,live
Fourth Presbyterian Church Tutoring Program Partners In Education - Chicago Lights,https://outerwildsmods.com/mods/nomaivr/,live
"Fourth Presbyterian Church, Chicago Lights Tutoring / Partners in Education",,not found
"Fourth Presbyterian Church, Partners In Education - Chicago Lights",,not found
Free Spirit Media,https://witwire.com/,live
Free Street Programs,https://givebutter.com/free-street-programs-inc,live
Freelance Journalist,https://www.peopleperhour.com/,live
FreyDesign,,not found
Friday Night Youth Program,https://www.masjidfarooq.com/youth/,live
Friends for Youth Mentoring Institute,https://www.pointsoflight.org/awards/friends-for-youth-inc/,live
"Friends for Youth Mentoring Institute, Redwood City, CA",,not found
Friends of St Malachys,https://web.archive.org/web/20080420154202/www.beyondmarriage.org/signatories.html,archived
From Small Acorns,https://soundcloud.com/beckylovatt,live
Fund Raising Consultant,https://www.iteradvisors.com/en/services/accompagnement-levee-de-fond,live
Future Founders Foundation,https://linktr.ee/futurefounders,live
Future Teachers of Chicago,https://archive.org/stream/ERIC_ED418083/ERIC_ED418083_djvu.txt,live
GATX Terminals Corporation,https://www.fundinguniverse.com/company-histories/gatx-corporation-history/,live
GBG,https://www.gbg.com/,live
"GBG, Inc",https://gbgins.com/,live
GCE Lab School,https://www.privateschoolreview.com/gce-lab-school-profile,live
GEAR-UP,https://in.nau.edu/gear-up/5e-schools/,live
GGP,https://www.globalgrandprixwcs.com/,live
GO Promotions,https://www.beseenlimited.com/trendblendhub/kenyan-business/go-promotions/2024/03/07/,live
Gads Hill Center,https://gadshillcenter.org/,live
Gads Hill Center Learning Connection,,not found
Gage Park High School NCLB PAC,,not found
Gainer Mentor Program,https://www.maenwatches.com/,live
Gale Sayers Center,https://www.nytimes.com/2020/09/23/sports/football/gale-sayers-dead.html,unverified
Galilee Baptist Church,https://galileemissionarybaptist.org/,live
Galileo Scholastic Academy of Math and Science,https://www.galileoscholasticacademy.org/,live
Galileo School,https://www.galileoschool.sk/html/en/index.html,live
Gallery 312,https://www.fiveflagsdanceacademy.com/gallery-312/,live
Galtier African American Men Program,https://cbmnational.org/,live
Gang Crime Prevention Center,https://www.nhl.com/info/teams/,live
Garrett Morgan School,https://www.ps132x.org/,live
Gateway Youth Foundation,https://www.instrumentl.com/990-report/gateway-youth-foundation,live
Gear Up,https://in.nau.edu/gear-up/5e-schools/,live
Gender Equity Fund,https://americanfaith.com/biden-administration-launches-multimillion-dollar-climate-gender-equity-fund-to-address-inequalities/,live
General Services Center Boys and Girls Clubs of Chicago,https://www.nhl.com/info/teams/,live
Generations Serving Generations,https://www.massenaassociates.com/blog/generations-serving-generations,live
Gifford School,https://www.gifford.org/home,live
Gillespie School,https://www.gillespie.islington.sch.uk/learning/curriculum/subjects/,live
Girl Power,https://www.tarot.nl/en/product/girl-power-tarot,live
Girl Scouts of Chicago,https://blog.girlscoutsgcnwi.org/category/outdoor/page/2/,live
Girls Justice Initiative,https://web.archive.org/web/20200108223730/https:/joebiden.com/justice/,archived
GiveForward org,https://causecapitalism.com/giveforward/,live
Glencoe Study Center The Story Within,https://www.glencoeschools.org/,live
Global Citizen Experience,https://www.tiktok.com/discover/doja-cat-global-citizen-festival-2026,live
Global Enterprises Network,https://mobile.companiess.com/global_enterprises_network_llc_info1880080.html,unverified
Global Hand Incorporated,https://greatnonprofits.org/org/global-hand-inc,live
Going to Bat for Tulsa Kids,https://www.antiochbaptisttulsa.org/church-anniversary/guest-speaker,live
Golden Apple Foundation,https://www.goldenapple.org/,live
Good Counsel Center,https://www.amazon.com/Lady-Good-Counsel-Emerald-Rosary/dp/B004UN3O24,live
Good Health Place CAHMCP,https://www.healthcare.gov/,live
Good News Church,https://gn.church/,live
Good News Partners,https://www.visualvisitor.com/companies/955622/Good-News-Partners,live
Good See Ministries,https://web.archive.org/web/20260122193642/https:/www.globaltimes.cn/page/202601/1353949.shtml,archived
Good Shepherd Teen Learning Center,https://www.vinecorps.org/chris-bio,live
Gospel Kitchen,https://www.mountainandvalleytestimonies.com/gospel-kitchen,live
Governors State University SMHEC,,not found
Governors State University South Metropolitan Higher Education Consortium,,not found
Grace Media Group,https://gracemedia.app/,live
Grand Prairie Services Strength Through Identity,,not found
Greater Chicago Food Depository,https://www.feedingamerica.org/find-your-local-foodbank/greater-chicago-food-depository,live
Greater Kalamazoo United Way - Peace Jam,https://www.nhl.com/info/teams/,live
Greater Lawn Community Youth Network,https://www.nhl.com/info/teams/,live
Greater Open Door Church,https://causes.benevity.org/causes/840-760659155,live
Greater Open Door MBC,https://rutube.ru/video/c76e70e0883a1ee54c9b02aa508bd3e2/,live
Greater West Town,https://falcon-tangerine-7ylx.squarespace.com/,live
Greenville College,https://greenvillecollege.edu.ph/mission-vision/,live
Grimes School,,not found
Grundy Kendall County Teen R E A C H,https://www.verizon.com/,live
Guinean National Alliance of Illinois,https://www.nhl.com/info/teams/,live
H v G U,https://www.gu-global.com/us/en/,live
H.A.S.,https://www.tiktok.com/discover/mean-fb2-official,live
H.O.P.E. Outreach 2000,https://web.archive.org/web/20140309212059/https:/wikileaks.org/plusd/cables/06KYIV4489_a.html,archived
HACC,https://en-academic.com/dic.nsf/enwiki/871229,live
HOPE Worldwide,https://www.hopeww.org/,live
HRDI,https://www.hrdi.org/,live
Hales Franciscan High School,https://www.greatschools.org/illinois/chicago/4597-Hales-Franciscan-High-School/,live
Hales Leadership Program,https://web.archive.org/web/20080420154202/www.beyondmarriage.org/signatories.html,archived
HandsOn Suburban Chicago,https://volunteerportal.liveunitedchicago.org/agency/detail/?agency_id=131671,live
Harlan Community Academy,https://www.harlanfalcons.org/student-life.html,live
Harlan High School,https://www.harlan-ind.k12.ky.us/o/hhs,live
Harper Community College,https://www.harpercollege.edu/registration/registrar/residency.php,live
Hartzell United Methodist Church - Scholars Program,https://www.nhl.com/info/teams/,live
Haugan Elementary,https://www.haugan.cps.edu/,live
Hazard Community & Technical College,https://applycollege.org/hazard-community-and-technical-college/,live
Healey Educational Program Literacy Volunteers,,not found
Healthcare Alternative Systems,https://www.hascares.org/es/,live
Healthcare Consortium of Illinois,https://www.idealist.org/en/nonprofit/19035ce86c2845ce93982ae6c10d5720-healthcare-consortium-of-illinois-dolton,live
Heart of Transformation Wellness Institute,https://www.bodymindmedicine.com/,live
Heartland Alliance,https://www.uaheartland.org/,live
Heartland Alliance Chicago Connections,https://kcrha.org/wp-content/uploads/2019/06/future-lab-report.pdf,live
Heartland Alliance Social Impact Research Center,https://www.luc.edu/curl/past_and_present_affiliates_.shtml,live
Heller Financial,https://www.heller-financial.com/,live
Helping Hand Mentoring,https://handinhandmentoring.org/,live
Helping Others Provide Excellence (HOPE),https://www.idealist.org/en/nonprofit/fac845beaf8d4b2ea94ce73369373924-helping-others-provide-excellence-chicago,live
Here's Life Inner City,https://www.sicbase.com/state-co/here-039-s-life-inner-city_qgo0.html,live
Hermosa Community,https://www.ourhermosa.org/,live
Hermosa Community Organization,https://www.mapquest.com/us/illinois/hermosa-community-center-404799836,live
Hermosa Community Organization/ Youth Mentoring Program,https://www.nhl.com/info/teams/,live
Hewitt Associates,https://www.referenceforbusiness.com/history2/46/Hewitt-Associates-Inc.html,live
Higgins,https://www.higginshotelnola.com/,live
High Jump,https://worldathletics.org/world-rankings/high-jump/women,live
HighSight,https://highsight.org/,live
Highland Community College - Minority Achievement Team,https://web.archive.org/web/20110704110715/http:/www.sciencedebate.org/debate08.html,archived
Highland Community College Minority Achievement Team,https://www.nhl.com/info/teams/,live
"Highsight, St. Joseph's Church",,not found
"Highsight, St. Josephs Church",,not found
Hispanic Leadership Opportunity,https://lnesc-kc.org/programs/hispanic-leadership-opportunity-program/,live
Hispanic Scholarship Fund,https://www.hsf.net/login/,live
Hitachi Consulting,https://www.hitachiconsulting.co.jp/english/,live
Holiday Home Camp 361 North Lake Shore Drive,https://www.nhl.com/info/teams/,live
Holsten Human Capital Development,https://hhcd.org/,live
Holy Cross Church,https://www.stmarybccnyc.org/holycrosschurch,live
Holy Cross IHM Church,https://resurrectionproject.org/wp-content/uploads/2019/12/trp_annual_ereport_2010.pdf,live
Holy Family Ministries,https://jmjholyfamilyministries.com/about/,live
Holy Trinity High School,https://holytrinityhigh.nlesd.ca/,live
Home of Life Community Development Corporation,https://acronyms.thefreedictionary.com/Home+of+the+Underdogs,live
Hope and Restore Initiative Organization,http://web.archive.org/web/20090801232011/informationarchitects.jp/designing-firefox-32/,archived
Hope for the City Ministries,"https://web.archive.org/web/20010417052318/http:/www.time.com/time/asia/arts/interview/0,9754,96905,00.html",archived
Horizons for Youth,https://horizonsforyouth.org/blog,live
Horner After School,https://ihsvoice.com/2015/11/03/the-building-blocks-of-a-perfect-school/,live
House of Good Shepherd,https://goreadingberks.com/house-of-the-good-shepherd/,live
Household International,https://www.twoinstitute.com/ent/household-international/,live
Housing Authority of Joliet,https://www.hajoliet.org/,live
Housing Opportunities for Women,https://www.idealist.org/en/nonprofit/8ddd13f096ca46159c66fd83df1c91bf-housing-opportunities-for-women-chicago,live
Howard Area Alternative High Schools Network,https://www.nhl.com/info/teams/,live
Howard Area Community Center,https://www.metrofamily.org/community_center/hecc/,live
Howe & Hutton,http://web.archive.org/web/20000916092428/library.thinkquest.org/3376/Timeline.htm,archived
HuTech Human Services Technologies,,not found
Hub International,https://www.hubomani.com/,live
Hull House,https://www.hullhousemuseum.org/,live
Hull House RSVP,https://blogs.uofi.uic.edu/view/1516/557208,live
"Hull House, Orr Infant Center",,not found
Human Capital Research Corporation,https://theorg.com/org/human-capital-research-corporation,live
Human Enrichment Development Association,https://www.ojp.gov/pdffiles1/Digitization/64424NCJRS.pdf,live
Human Resource Development Institute,https://hrdinstitute.in/page.php?page=about_us,live
Humanity for Affordable Housing,https://www.starwarscelebration.com/en-us/tickets-merch/ticket-information.html,live
Hyde Park Art Center,https://www.tamparegionalartists.com/art-center,live
Hyde Park Hair Salon,https://hydeparkhairsalon.net/,live
Hyde Park Herald,https://www.hpherald.com/,live
I AM Cares,https://web.archive.org/web/20110704110715/http:/www.sciencedebate.org/debate08.html,archived
I Have A Dream Foundation,https://www.ihdfnj.org/,live
I.U.P.U.I.,https://engage.indianapolis.iu.edu/about/Goal7_Performance-Indicators-2021-FINAL.pdf,live
IIT Rice Campus,https://www.virtualtourist.com/travel/North_America/United_States_of_America/Illinois/Naperville-779215/Things_To_Do-Naperville-IIT_Rice_Campus-BR-1.html,live
IIT Stuart School of Business,https://estatic.universityguru.com/pdfs/1631180630198.pdf,unverified
INVEST Evanston,https://arrived.com/,live
IUPUI,https://indianapolis.iu.edu/about/iupui-transition/,live
IUPUI - Upward Bound,https://ub.indianapolis.iu.edu/,live
IUPUI Center for Service and Learning,https://www.nas.org/blogs/article/the_new_civics_pushes_progressive_advocacy_through_service_learning,unverified
IUPUI University College,https://matchcollege.com/public-colleges/indiana-university-purdue-university-indianapolis,live
IUPUI Upward Bound,https://ub.indianapolis.iu.edu/,live
"IUPUI, University College",https://matchcollege.com/public-colleges/indiana-university-purdue-university-indianapolis,live
"IUPUI, Upward Bound",https://ub.indianapolis.iu.edu/,live
Ideation First,https://www.boardofinnovation.com/blog/golden-rules-of-ideation/,live
Ill Association of Non Profit Organizations,https://www.louisiananonprofits.org/,live
